   Map Name,       MapID, StyleIDs, ModeIDs,   GameIDs,   Unix Constraint, Fix Description, Mapfix ID
Drake, 17279567369, FASTE, MAIN, SURF, February 10 2025 at 11:01 AM, Previously uploaded mapfix needs time wipes, UNSPECIFIED
Charcoal Chasm, 5692107676, FASTE, MAIN, SURF, February 10 2025 at 10:49 AM, Previously uploaded mapfix needs time wipes, UNSPECIFIED
Slime Map Pile, 5692170517, FASTE, MAIN, SURF, February 10 2025 at 10:44 AM, Previously uploaded mapfix needs time wipes, UNSPECIFIED
Sky, 5692122578, FASTE, MAIN, SURF, February 10 2025 at 10:45 AM, Previously uploaded mapfix needs time wipes, UNSPECIFIED
Lines, 5692164379, FASTE, MAIN, SURF, February 10 2025 at 10:45 AM, Previously uploaded mapfix needs time wipes, UNSPECIFIED
Got The Blues, 5692175777, FASTE, MAIN, SURF, February 10 2025 at 10:44 AM, Previously uploaded mapfix needs time wipes, UNSPECIFIED
Moist, 5692112034, FASTE, MAIN, SURF, March 15 2025 at 06:14 PM, Fixed faste oob. Wipe Faste times, UNSPECIFIED
Moist, 5692112034, ALL, MAIN, FLYTRIALS, March 15 2025 at 06:14 PM, Fixed faste oob. Wipe Faste times, UNSPECIFIED
Windows 84, 8777513883, ALL, B1, SURF, March 15 2025 at 06:14 PM, Fixed bonus oob. Delete all bonus times, UNSPECIFIED
Windows 84, 8777513883, ALL, B1, FLYTRIALS, March 15 2025 at 06:14 PM, Fixed bonus oob. Delete all bonus times, UNSPECIFIED
Strafe FiBzY, 128330419014481, ALL, ALL, BHOP, March 15 2025 at 06:52 PM, Fixed wacky union collision. Wipe all styles, UNSPECIFIED
Azurite, 5692128954, FASTE, MAIN, SURF, March 15 2025 at 06:28 PM, Illegal route got fixed, UNSPECIFIED
Leek (spin), 13026270460, ALL, MAIN, FLYTRIALS, June 07 2025 at 11:46 AM, Fixed faste OOB delete main faste #1 and wipe fly trials, https://maps.strafes.net/mapfixes/5
Tie, 5692169270, FASTE, MAIN, SURF, June 09 2025 at 02:17 AM, Tie - Fixed spine bugs fixed oob fixed faulty bonus triggers - (Wipe faste main , https://maps.strafes.net/mapfixes/7
Tie, 5692169270, FASTE, B1, SURF, June 09 2025 at 02:17 AM, Tie - Fixed spine bugs fixed oob fixed faulty bonus triggers - (Wipe faste main , https://maps.strafes.net/mapfixes/7
Tie, 5692169270, ALL, MAIN, FLYTRIALS, June 09 2025 at 02:17 AM, Tie - Fixed spine bugs fixed oob fixed faulty bonus triggers - (Wipe faste main , https://maps.strafes.net/mapfixes/7
Tie, 5692169270, ALL, B1, FLYTRIALS, June 09 2025 at 02:17 AM, Tie - Fixed spine bugs fixed oob fixed faulty bonus triggers - (Wipe faste main , https://maps.strafes.net/mapfixes/7
Resilience, 5692107810, ALL, MAIN, SURF, June 07 2025 at 11:46 AM, Resilience - Fixed several oobs adjusted mapstart slightly fixed a few faulty tr, https://maps.strafes.net/mapfixes/8
Resilience, 5692107810, ALL, MAIN, FLYTRIALS, June 07 2025 at 11:46 AM, Resilience - Fixed several oobs adjusted mapstart slightly fixed a few faulty tr, https://maps.strafes.net/mapfixes/8
Trikz Cloud, 5692158544, FASTE, MAIN, SURF, November 12 2024 at 12:26 AM, Fixed OOB (Mapfix is already in the game) - Wipe faste, UNSPECIFIED
Slope, 13026344315, ALL, MAIN, FLYTRIALS, March 26 2025 at 05:31 PM, Fix being able to stand on the walls inside the spawn box due to an oversight - Iwxxbxl, UNSPECIFIED
Andromeda, 15718190188, AUTOHOP, MAIN, SURF, June 09 2025 at 02:22 AM, Andromeda - Fixed rock surf/bhop - Wipe Auto - LF, https://maps.strafes.net/mapfixes/9
Hi Everyone, 96196419905072, FASTE, MAIN, SURF, February 10 2025 at 06:02 PM, oob fix (wipe faste), UNSPECIFIED
Airspace, 13026263851, FASTE, MAIN, SURF, June 09 2025 at 08:44 PM, oob fix, UNSPECIFIED
Ancient, 5692113161, ALL, MAIN, FLYTRIALS, June 09 2025 at 08:44 PM, oob fix, UNSPECIFIED
Daydreamer 2, 12293814860, ALL, MAIN, FLYTRIALS, June 09 2025 at 08:44 PM, oob fix, UNSPECIFIED
Hi Everyone, 96196419905072, AUTOHOP, MAIN, SURF, June 17 2025 at 06:42 PM, booster fix, UNSPECIFIED
Autumnland, 5692104532, FASTE, MAIN, BHOP, October 18 2025 at 02:59 AM, patched oob, https://maps.strafes.net/mapfixes/145
Today, 8659339332, ALL, MAIN, FLYTRIALS, June 19 2025 at 03:42 PM, Today - Fixed faste oobs + Elevated start (Will need some faste times deleted fo, https://maps.strafes.net/mapfixes/45
Bundle Up, 138252617455022, ALL, B1, SURF, November 07 2025 at 06:41 PM, Fixed bonus to have all triggers correspond to the spawn so u cant phase through, https://maps.strafes.net/mapfixes/147
Desolate, 6111005316, FASTE, MAIN, SURF, October 25 2025 at 10:48 PM, patched oob, https://maps.strafes.net/mapfixes/151
Glass II, 5692135297, FASTE, MAIN, SURF, October 25 2025 at 10:48 PM, patched oobs, https://maps.strafes.net/mapfixes/153
Rigorous, 5692157460, FASTE, MAIN, SURF, November 27 2025 at 11:26 PM, fixed ramps fixed multipart start & patched oob delete #1 autohop & wipe faste, https://maps.strafes.net/mapfixes/174
Sinsane, 5692157806, FASTE, MAIN, SURF, November 07 2025 at 06:42 PM, fixed ramp & multipart start, https://maps.strafes.net/mapfixes/144
Solar Temple, 124341114843093, FASTE, MAIN, SURF, August 07 2025 at 11:14 PM, - Terrain Lag Fix and Water Design Change - Fixed Triggers not working in some a, https://maps.strafes.net/mapfixes/99
Zoom, 5692138686, FASTE, MAIN, SURF, November 30 2025 at 02:26 PM, patched oob & fixed ramps, https://maps.strafes.net/mapfixes/159
Grid, 5692170433, FASTE, MAIN, SURF, December 05 2025 at 10:06 AM, ramp fix symmetry fix invisible wall remake & oob routes patch, https://maps.strafes.net/mapfixes/135
